id,region,university,center,category,title,posted_date,url,summary,board,source,confidence,collected_at,institution_id
ks-kscec-01,부산,경성대학교,대학 본부,일반강사채용(참고),2026학년도 2학기 비전임교원(강사·겸임·초빙) 1차 공개채용,2026,https://apps.ks.ac.kr/eprofappl/eprofappl/index.jsp,평생교육원 공고 아님.,교수초빙시스템,web_search,high,2026-09-21,ks-kscec
ks-kscec-02,부산,경성대학교,평생교육원,강좌개설신청,2026-2학기 평생교육원 신규강좌 모집,2026-04-23,https://cms1.ks.ac.kr/kscec/bbs/list.do?mId=0208000000&ptIdx=201,,평생교육원 소식,scraper,high,2026-09-21,ks-kscec
kosin-edu-02,부산,고신대학교,평생교육원,강사모집,2022년도 학점은행제 신규 강사모집 안내,2022,https://kosinedu.com/sub04_1/776,과거 공고(형식 참고용).,공지사항,web_search,high,2026-09-21,kosin-edu
kosin-edu-01,부산,고신대학교,평생교육원,강사모집,2024년 상반기 고신대학교 평생교육원 학점은행제 신규강사 모집 안내,2024,https://kosinedu.com/sub04_1/2021,"자격: 학사+교육/연구경력 4년, 석사+2년, 박사. 수강인원 5명(이론 10명) 이상 확보 조건. 국가공무원법 33조 결격사유 없어야 함. 문의 051-990-2260, 2450. (2025·2026 공고는 검색 미확인)",공지사항,web_search,high,2026-09-21,kosin-edu
pknu-ps-02,부산,국립부경대학교,평생교육원,강좌개설공모,2023학년도 2학기 평생교육원 개설강좌 공모 안내,2023-05,https://ee.pknu.ac.kr/ee/1669?action=view&no=9934849,"공모기간 2023-05-09~05-31. 대상: 교수, 연구원, 대학원생, 직원 등 강의분야 자격·경력 보유자. 매 학기 유사 공모 반복.",학과 게시판(전재),web_search,high,2026-09-21,pknu-ps
pknu-ps-01,부산,국립부경대학교,평생교육원,강좌개설공모,2024학년도 2학기 일반교육과정 개설강좌 공모,2024,http://ps.pknu.ac.kr/,평생교육원 홈페이지 공지에 게시된 개설강좌 공모(개별 URL 미확보). 문의 051-629-6791.,공지사항,web_search,low,2026-09-21,pknu-ps
pknu-ps-03,부산,국립부경대학교,대학 본부,일반강사채용(참고),2025-2학기 (1차) 강사 채용 공고,2025,https://kcue.or.kr/notice/sub04.php?pagenumber=1&at=view&idx=657599,평생교육원 공고 아님.,대교협,web_search,high,2026-09-21,pknu-ps
pknu-ps-04,부산,국립부경대학교,미래교육원(평생교육원),강좌개설공모,미래교육원 2026학년도 1학기 특별교육과정 개설강좌 공모,2025,https://www.pknu.ac.kr/main/163?action=view&no=723314,특별교육과정 개설강좌 공모(강사·강좌 제안). 매 학기 반복. 문의 051-629-6791.,대학 공지사항,web_search,high,2026-09-21,pknu-ps
kmou-edu-01,부산,국립한국해양대학교,대학 본부,일반강사채용(참고),2026학년도 상반기 강사 공개채용 모집 공고,2026,https://www.kmou.ac.kr/kmou/na/ntt/selectNttInfo.do?nttSn=10369063&mi=2035,학부 강사 채용. 평생교육원 공고 아님.,대학 공지사항,web_search,high,2026-09-21,kmou-edu
donga-edu-02,부산,동아대학교,평생교육원,강좌개설제안(상시),강좌개설신청 (홈페이지 상시 접수 메뉴),,https://donga-edu.donga.ac.kr/community_notice/read.aspx?no=10288&board_code=site9100,,공지사항,scraper,high,2026-09-21,donga-edu
